word,meaning,part_of_speech,frequency
be,是；表示,verb,2
have,有；怀有；已经,verb,8
that,那；那个；以致；因为,adjective,12
do,做；进行,verb,18
say,说；讲；意见；发言权,verb,19
not,不；非,adverb,28
as,同样地；例如；做为；当作,adverb,33
go,去；走；以...打赌；对付,verb,35
can,装罐；罐头；容器；能,verb,37
get,得到；获得；到达；成为,verb,39
would,将；愿意,verb,41
all,所有的；全部的；全部；全然,adjective,43
make,制造；安排；开始；前进,verb,45
know,知道；了解,verb,47
will,意志；决心；用意志的力量驱使；决意,noun,48
up,向上的；起床的；向上；上涨,adjective,50
one,一(个)；一；任何人；一个,noun,51
time,时间；时侯；测定...的时间；记录...的时间,noun,52
there,在那里,adverb,53
year,年；年度,noun,54
so,如此；如是；所以；因此,adverb,55
think,想；考虑；思考；料想,verb,56
people,人；人民；使住满人；居住于,noun,62
take,拿；取；吃掉对方棋子；抓住,verb,63
out,外面的；熄灭的；在外；熄灭,adjective,64
just,正直的；合理的；刚刚；正好,adjective,66
see,看见；查看；看；观看,verb,67
come,过来；来,verb,70
could,可以；能,verb,71
now,现在；刚才；现在的；由于,adverb,72
like,相似的；同样的；喜欢；愿意,adjective,74
other,其他的；另外的；他人；另外一个,adjective,75
how,如何；怎样；方式,adverb,76
then,然后；当时；那时,adverb,77
two,二；二个,noun,80
more,更多；多的；程度较大的；多,noun,81
want,需要的东西；缺乏；要；希望,noun,83
way,路；路线；远远地；非常,noun,84
look,一看；神色；看；注意,noun,85
first,首先；第一；第一的；开始,adverb,86
also,也；并且,adverb,87
new,新的；陌生的,adjective,88
day,天；日子,noun,90
use,使用；习惯；利用；运用,noun,92
no,不；拒绝；没有；不是,noun,93
man,男人；人类；为...配备人手；操纵,noun,94
find,发现；感到；裁决；寻找指定的字符串,verb,95
here,在这里；此时；这里,adverb,96
thing,事物；东西,noun,97
give,弹性；适应性；给；授予,noun,98
many,多数；多数人；许多的；许多,noun,99
well,井；泉水；涌出；健康的,noun,100
only,唯一的；仅有的；只有；仅仅,adjective,101
tell,告诉；说；讲述；泄密,verb,103
very,真正的；恰好的；非常；完全,adjective,105
even,平坦的；相等的；使平坦；使相等,adjective,107
back,后面的；使后退；支持；倒退,adjective,108
